ID,CEFR.Top,CEFR.Sub,CEFR,Original Level,Source,Sentence
0,A,A1,A1.1,1,ALC,وهذا بلا شك يعطي انطباعاً بأهميته وصلته بالواقع بالإضافة إلى أن هذه العلوم تتكامل لتخدم هذه اللغة 
1,A,A1,A1.1,1,ALC,ومن الجميل أن يخصص المرء لنفسه بعض الوقت دون توتر وضغط نفسي
2,A,A1,A1.1,1,ALC,ومع أن مجالات علم اللغة متعددة 
3,A,A1,A1.1,1,ALC,وما كدر صفو العمرة إلا ضياع إحدى أخواتي ،ولكن لم تطل مدة ضياعها 
4,A,A1,A1.1,1,ALC,وما أهمية كل تخصص ومجالاته
5,A,A1,A1.1,1,ALC,ولله الحمد بل بفضل الله أنا الحين في حالة أحج كل سنة، وفي هذه السنة ذهبت للحج مع رحلة من إحدى الشركات للحجاج الداخل مشرفا دينيا، بعد عناء وتعب شديد وصلت إلى الحرم، سبب التعب السائق، ما رأيت شخصا أفظ ولا أغلظ منه يغضب على كل صغير وكبير،والغضب يكون موجها إلي دائما لأني أنا المسؤل للرحلة من حيث إيقاف الباص وتجميع الناس، فقد حيرني كثيرا سبني مرارا وما بقي له إلا رفع اليد بالصفعة، ولكن بفضل الله صبرت وصبرت وما قلت شيئا لأني أنا كنت في رحلة عظيمة فاحترمت الرحلة وهذا ما أوصيت به الناس جميعا
6,A,A1,A1.1,1,ALC,ولكنني لم أصغ لتلك الآراء
7,A,A1,A1.1,1,ALC,ولكن هذا الدعم لم يكن من الجميع بل كانت بعض الزميلات مثبطات،و يتساءلون عن جدوى إكمال الدراسة
8,A,A1,A1.1,1,ALC,ولقد كان لصلاة الجماعة في المسجد طعماً خاصاً،يشعر فيه المرء بأنه جزء من كيان كبير،وأنه متساوٍ مع إخوانه المسلمين،ويتعمق فيه شعوره بالروحانية والهدوء النفسي
9,A,A1,A1.1,1,ALC,ولا يزال القلب يحن إليه،ولكن الظروف للأسف لا تسمح لي بالذهاب كل ما اشتقت
10,A,A1,A1.1,1,ALC,ولا زلت أذكر ذاك العجوز الذي أوصلنا
11,A,A1,A1.1,1,ALC,ولا ريب أن السفر يعيد النشاط ويفتح الذهن و يملأ الروح هدوءاً و استرخاء ، ومن المعروف أن للسفر فوائد عديدة ذكرها القدماء ،منها: انفراج الهم، واكتساب المعيشة، وحصول العلم، والآداب، وصحبة الأخيار
12,A,A1,A1.1,1,ALC,وكانت أثار الحزن والفجيعة تكسو ملامحه وساد الصمت المكان طيلة الطريق حتى انني تخوفت من حال خالاتي وخلاني و توقعت أن أجد أشخاصا منهارون من شدة الحزن والبكاء ولكن تفاجئت من حالهم حينها فقد كانوا مثلاً رائعاً للصبر وقوة الإيمان واحتساب الأجر عند الله عز وجل 
13,A,A1,A1.1,1,ALC,وفي يوم العرفة ذهبنا إلى محطة القطار لنركب القطار للذهاب إلى العرفة فعانينا مشاكل شديدة حيث وقفنا عند المحطة أربع ساعات قريبا، والناس معهم زوجاتهم وأطفالهم الصغار كلهم كانوا في غضب شديد، وفي الأخير نحن نكن ضحية لغضبهم، وكذلك في العودة من العرفة عانينا من نفس المشكلة، توقفنا عند المحطة ساعات، وذهبنا لنركب على على باصات الشركة ذاهبين لطواف الإفاضة، فإذا ركبنا وركب الناس فأجأنا بمشكلة أخرى، رجال المرور قد قفلوا ذالك الطريق التي فيها باصاتنا فنزلنا ونزل الناس، ولا تسأل عن غيظهم وغضبهم علينا مع كون الأمر خارجا من أيدينا، رجعنا كلنا إلى المخيم والناس مشتعلون وملتهبون غضبا، استغثنا بالله من غضبهم
14,A,A1,A1.1,1,ALC,وصل كل المسجلين في الرحلة ولم يبق لنا إلا التحرك
15,A,A1,A1.1,1,ALC,ودخلنا إلى مسجد النبوي مباشرة وصلينا فيها ركعتين بعد ذلك أتينا إلى قبر النبي صلى الله عليه وسلم) وجدنا هذه المدينة مدينة سلام وهدوء الحمد لله ونصرف هذا نعم من الله تعالى نزل الله عليها سلامة
16,A,A1,A1.1,1,ALC,وحينما وصلنا إلى مكة أصر أن يوصلنا إلى منزله ليقوم بواجب الضيافة،وهذا ليس بمستغرب على أهل مكة ،ولكن أخي شكره على ذلك،وانطلقنا مباشرة إلى المسجد الحرام،وحينما وصلت إلى المطاف و رأيت الكعبة فاضت عيني بالدموع،وامتلأت روحي بالطمأنينة الممزوجة بهيبة المكان
17,A,A1,A1.1,1,ALC,وبعد الاستشارة والاستخارة اتخذت قراري باختيار تخصص علم اللغة التطبيقي
18,A,A1,A1.1,1,ALC,وأذكر أحاديثه عن طرق جدة و مكة و أجمل الأماكن التي يمكننا زيارتها
19,A,A1,A1.1,1,ALC,و لقد كان هنالك دعم أيضاً من بعض الدكتورات وتشجيع مستمر طوال فترة البكالوريوس
20,A,A1,A1.1,1,ALC,و ربما تكون موضوعاً لبحث رسالة الماجستير
21,A,A1,A1.1,1,ALC,هذا صحبة إذا ذهبت إلى بيت الأصدقاء أنا عجبت لماذا عجبت لأنه لا يعرف عن الاسلا م ولا يعرف شيئا هم يعرف في الاسلام فقد الصلاة موجود ما في شيئا
22,A,A1,A1.1,1,ALC,لم أصدق أبداً 
23,A,A1,A1.1,1,ALC,لا أنكر أنني تأثرت نوعا ما ، وتنازعتني بعض الأفكار إلى أن حان وقت التسجيل،فأقدمت على العمل بما أملاه علي عقلي وقلبي ،ألا أنساق وراء أهواء الناس وميولهم،فدراستي إن لم تكن فيما أحبه وأرغب في الاستزادة منه ،قد تفقدني الدافعية للتفوق والاستمرار
24,A,A1,A1.1,1,ALC,لأن من لا تاريخ له لا حاضر له ولا مستقبل 
25,A,A1,A1.1,1,ALC,كما أن تعليم اللغة متداخل مع العلوم الأخرى كعلم النفس من ناحية نظريات تعلم اللغة ،وعلم الاجتماع من ناحية نظريات استخدام اللغة، و تتداخل معه المؤثرات السياسية والثقافية،ويتداخل مع الفيزياء من ناحية دراسة الصوت اللغوي وتفسير انتقاله،وكذلك علم الأحياء في محاولة فهم التراكيب العضوية،و الاختلال الذي قد يسبب تأخراً في اكتساب اللغة أو تأخراً في تعلمها
26,A,A1,A1.1,1,ALC,قبلت في جامعة الإمام محمد بن السعود لكي استمر أدرسها، إن شاء الله أكون مدرسا في الصين لتبليغ حضارة الإسلام، وأدعو من ا لكفار أن يعرفوا ديننا أخيرا أسأل الله أن يحقق هدفي
27,A,A1,A1.1,1,ALC,فتبادر إلى بعض من البيت الشعري
28,A,A1,A1.1,1,ALC,فبعد قضاء فريضة الظهر أخذت أغراضي وكل مستلزمات التي أراها ضرورية في السفر
