ID,CEFR.Top,CEFR.Sub,CEFR,Original Level,Source,Sentence
0,C,C,C,5,WIKI,"	 الأرق : - الراحة النفسية والجسدية هامة جداً "
1,C,C,C,5,WIKI,"	 علم النفس وسنوات الطفولة : 1 - يقول ، فرويد ، وقد نختلف معه فى كثير مما يقول : أن أول صدمة يتلقاها الفرد فى حياته هى صدمة الميلاد Birth Trauma ، إذ يخرج دون رغبته من بيئة ممتازة إلى بيئة سيئة "
2,C,C,C,5,WIKI,"	أنت لم تسجل الدخول بعد أو أنك لا تملك صلاحية لدخول لهذه الصفحة "
3,C,C,C,5,WIKI,"	اقتباس من مشاركة بزبوز اخواني ان الانسان ليعجز ان يرى مثل كل هذه الامور فلا يبقى الا الصحيح والامل باقي فهناك ازدواجيه وانحسار لمثل هذه الاطروحات المنتامية والتي تنفد الواقع الاليم وقد ذكر افلاطون في مدينته الفاضله امور جعل الانسان يعيش في الاستقراطيه وهو لم يحققها وجعل المشاعر تهفو لنيل البقاء والعطاء ولكن خالفه ارسطو عندما وظع نظرية الاستحمال الباطني للالام الخارجيه فهو افضل حالا من افلاطون كنت اتمنى ان لا يكون هناك اعتراض ولا انشقاق لكن كما قال العالم الفرنسي اوجيست كونت لابد من التصادم حتى تعرف من تحاكي ومن تتاقلم معه فلا الواقعيه وصلنا ولا الانفلات الحسي عشنا ولا حققنا اي من الامور المتراكبه والمترابطه ابدا اتمنى لكم كل خير"
4,C,C,C,5,WIKI,"	البتولية هو نوع تسمم غذائي منتشر بشكل كبير ولكنه خطير جداً "
5,C,C,C,5,WIKI,"	السلام عليكم انا شخصيا ماحب اتكلم على نفسي افضل النصف الاخر يكتشف كل شي فيني "
6,C,C,C,5,WIKI,"	المزايا الجديدة في شبكة معارف عرض نتائج الطلاب للمرحلة الابتدائية المهارات للصفوف الاولية بالاضافة الى نتائج صف سادس الابتدائي عرض نتائج طلاب المرحلة المتوسطة لاختبارات الفترات القصيرة والاختبارات النهائية عرض متابعة الطلاب الغياب ، المواقف اليومية ، الانذارات ، القرارات التأديبية التعهدات "
7,C,C,C,5,WIKI,"	النفس بحاجة إلى استثارة وإغراء لتخرج من حجر البلادة والتخلف ، والاستحذاء "
8,C,C,C,5,WIKI,"	بيت لحم - حمل محافظ بيت لحم صلاح التعمري الجانب الاسرائيلي مسؤولية أي تدهور في الاوضاع في محافظة بيت لحم نتيجة الاستمرار في السكوت على اعتداءات المستوطنين الذين يعملون على اقامة بؤرة استيطانية في معسكر عش غراب الواقع الى الشرق من بيت ساحور "
9,C,C,C,5,WIKI,"	تم توقيع اتفاقية ترددات ، موبايل الوطنية ، "
